cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB716000000055;71153/USZ/TR 60 1523;"CD71-FTTH-USZ;12FO - TR 60 1523";ND716000000033;ND716000000113;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;46.126;;;29/08/2022 00:00;;;;
CB716000000056;71153/USZ/TR 60 1524;"CD71-FTTH-USZ;12FO - TR 60 1524";ND716000000113;ND716000000183;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;55.952;;;29/08/2022 00:00;;;;
CB716000000057;71153/USZ/TR 60 1525;"CD71-FTTH-USZ;24FO - TR 60 1525";ND716000000005;ND716000000190;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;187.807;;;29/08/2022 00:00;;;;
CB716000000058;71153/USZ/TR 60 1526;"CD71-FTTH-USZ;24FO - TR 60 1526";ND716000000190;ND716000000189;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;44.000;;;29/08/2022 00:00;;;;
CB716000000059;71153/USZ/TR 60 1527;"CD71-FTTH-USZ;24FO - TR 60 1527";ND716000000189;ND716000000188;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;35.161;;;29/08/2022 00:00;;;;
CB716000000060;71153/USZ/TR 60 1528;"CD71-FTTH-USZ;24FO - TR 60 1528";ND716000000005;ND716000000166;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;18.153;;;29/08/2022 00:00;;;;
CB716000000061;71153/USZ/TR 60 1529;"CD71-FTTH-USZ;24FO - TR 60 1529";ND716000000166;ND716000000165;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;35.259;;;29/08/2022 00:00;;;;
CB716000000062;71153/USZ/TR 60 1530;"CD71-FTTH-USZ;24FO - TR 60 1530";ND716000000165;ND716000000164;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;45.918;;;29/08/2022 00:00;;;;
CB716000000063;71153/USZ/TR 60 1531;"CD71-FTTH-USZ;24FO - TR 60 1531";ND716000000164;ND716000000163;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;36.859;;;29/08/2022 00:00;;;;
CB716000000064;71153/USZ/TR 60 1532;"CD71-FTTH-USZ;12FO - TR 60 1532";ND716000000005;ND716000000064;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;104.888;;;29/08/2022 00:00;;;;
CB716000000065;71153/USZ/TR 60 1533;"CD71-FTTH-USZ;12FO - TR 60 1533";ND716000000064;ND716000000106;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;68.260;;;29/08/2022 00:00;;;;
CB716000000066;71153/USZ/TR 60 1534;"CD71-FTTH-USZ;12FO - TR 60 1534";ND716000000005;ND716000000103;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;1.363;;;29/08/2022 00:00;;;;
CB716000000067;71153/USZ/TR 60 1535;"CD71-FTTH-USZ;12FO - TR 60 1535";ND716000000103;ND716000000128;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;91.995;;;29/08/2022 00:00;;;;
CB716000000068;71153/USZ/TR 60 1536;"CD71-FTTH-USZ;12FO - TR 60 1536";ND716000000005;ND716000000180;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;186.091;;;29/08/2022 00:00;;;;
CB716000000069;71153/USZ/TR 60 1537;"CD71-FTTH-USZ;12FO - TR 60 1537";ND716000000180;ND716000000181;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;27.395;;;29/08/2022 00:00;;;;
CB716000000070;71153/USZ/TR 60 1538;"CD71-FTTH-USZ;6FO - TR 60 1538";ND716000000005;ND716000000205;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;107.921;;;29/08/2022 00:00;;;;
CB716000000071;71153/USZ/TR 60 1539;"CD71-FTTH-USZ;6FO - TR 60 1539";ND716000000005;ND716000000200;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;104.083;;;29/08/2022 00:00;;;;
CB716000000072;71153/USZ/TR 60 1540;"CD71-FTTH-USZ;6FO - TR 60 1540";ND716000000005;ND716000000018;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;55.746;;;29/08/2022 00:00;;;;
CB716000000073;71153/USZ/TR 60 1541;"CD71-FTTH-USZ;144FO - TR 60 1541";ND716000000223;ND716000000008;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;221.157;;;29/08/2022 00:00;;;;
CB716000000074;71153/USZ/TR 60 1542;"CD71-FTTH-USZ;144FO - TR 60 1542";ND716000000008;ND716000000035;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;282.260;;;29/08/2022 00:00;;;;
CB716000000075;71153/USZ/TR 60 1543;"CD71-FTTH-USZ;36FO - TR 60 1543";ND716000000035;ND716000000157;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;45.972;;;29/08/2022 00:00;;;;
