pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000109;0720436/71059;CD71-0720436/71059;ND716000000109;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000110;0720441/71059;CD71-0720441/71059;ND716000000110;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000111;0720444/71059;CD71-0720444/71059;ND716000000111;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000112;0720447/71059;CD71-0720447/71059;ND716000000112;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000113;0720453/71059;CD71-0720453/71059;ND716000000113;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000114;0719691/71059;CD71-0719691/71059;ND716000000114;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000115;0719695/71059;CD71-0719695/71059;ND716000000115;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000116;0719697/71059;CD71-0719697/71059;ND716000000116;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000117;0719699/71059;CD71-0719699/71059;ND716000000117;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000118;0720433/71059;CD71-0720433/71059;ND716000000118;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000119;0719666/71059;CD71-0719666/71059;ND716000000119;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000120;0719668/71059;CD71-0719668/71059;ND716000000120;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000121;0719670/71059;CD71-0719670/71059;ND716000000121;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000122;0719674/71059;CD71-0719674/71059;ND716000000122;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
