pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000034;00078/71059;CD71-00078/71059;ND716000000034;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000035;00087/71059;CD71-00087/71059;ND716000000035;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000036;00103/71059;CD71-00103/71059;ND716000000036;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000037;00086/71059;CD71-00086/71059;ND716000000037;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000038;00089/71059;CD71-00089/71059;ND716000000038;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000039;00096/71059;CD71-00096/71059;ND716000000039;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000040;0208056/71059;CD71-0208056/71059;ND716000000040;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000041;0208016/71059;CD71-0208016/71059;ND716000000041;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000042;0206951/71059;CD71-0206951/71059;ND716000000042;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000043;0206954/71059;CD71-0206954/71059;ND716000000043;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000044;0208013/71059;CD71-0208013/71059;ND716000000044;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000045;0208015/71059;CD71-0208015/71059;ND716000000045;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;A;I;;PIND;f;;;;;;;;;;;29/08/2022 00:00;;;;
