cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000154;12;BP716000000060;1;;;RF000000000191;71153/USZ/PT 601500;29/08/2022 00:00;;;;
CS716000000155;0;BP716000000060;0;;;RF000000000297;71153/USZ/PT 601500;29/08/2022 00:00;;;;
CS716000000158;12;BP716000000066;1;;;RF000000000191;71153/USZ/PT 601501;29/08/2022 00:00;;;;
CS716000000159;0;BP716000000066;0;;;RF000000000297;71153/USZ/PT 601501;29/08/2022 00:00;;;;
CS716000000161;12;BP716000000067;1;;;RF000000000191;71153/USZ/PT 601502;29/08/2022 00:00;;;;
CS716000000162;0;BP716000000067;0;;;RF000000000297;71153/USZ/PT 601502;29/08/2022 00:00;;;;
CS716000000163;12;BP716000000061;1;;;RF000000000191;71153/USZ/PT 601503;29/08/2022 00:00;;;;
CS716000000164;12;BP716000000078;1;;;RF000000000191;71153/USZ/PT 601504;29/08/2022 00:00;;;;
CS716000000165;0;BP716000000078;0;;;RF000000000297;71153/USZ/PT 601504;29/08/2022 00:00;;;;
CS716000000166;12;BP716000000079;1;;;RF000000000191;71153/USZ/PT 601505;29/08/2022 00:00;;;;
CS716000000167;12;BP716000000081;1;;;RF000000000191;71153/USZ/PT 601506;29/08/2022 00:00;;;;
CS716000000168;0;BP716000000081;0;;;RF000000000297;71153/USZ/PT 601506;29/08/2022 00:00;;;;
CS716000000169;12;BP716000000084;1;;;RF000000000191;71153/USZ/PT 601507;29/08/2022 00:00;;;;
CS716000000170;12;BP716000000056;1;;;RF000000000191;71153/USZ/PT 601508;29/08/2022 00:00;;;;
CS716000000171;0;BP716000000056;0;;;RF000000000297;71153/USZ/PT 601508;29/08/2022 00:00;;;;
CS716000000172;12;BP716000000055;1;;;RF000000000191;71153/USZ/PT 601509;29/08/2022 00:00;;;;
CS716000000173;12;BP716000000057;1;;;RF000000000191;71153/USZ/PT 601510;29/08/2022 00:00;;;;
CS716000000174;12;BP716000000058;1;;;RF000000000191;71153/USZ/PT 601511;29/08/2022 00:00;;;;
CS716000000175;12;BP716000000062;1;;;RF000000000191;71153/USZ/PT 601512;29/08/2022 00:00;;;;
CS716000000176;12;BP716000000059;1;;;RF000000000191;71153/USZ/PT 601513;29/08/2022 00:00;;;;
CS716000000177;12;BP716000000101;1;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000178;12;BP716000000101;2;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000179;12;BP716000000101;3;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000180;12;BP716000000101;4;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000181;12;BP716000000101;5;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000182;12;BP716000000101;6;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000183;12;BP716000000101;7;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000184;12;BP716000000101;8;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000185;12;BP716000000101;9;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000186;12;BP716000000101;10;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000187;12;BP716000000101;11;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000188;12;BP716000000101;12;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000189;12;BP716000000101;13;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000190;12;BP716000000101;14;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000191;12;BP716000000101;15;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000192;12;BP716000000101;16;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000193;12;BP716000000101;17;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000194;12;BP716000000101;18;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000195;12;BP716000000101;19;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
CS716000000196;12;BP716000000101;20;;;RF000000000191;71153/USZ/PT 601514;29/08/2022 00:00;;;;
